cam1_X,cam1_Y,cam2_X,cam2_Y
360.205125,305.848350,426.985421,330.768854
380.976875,306.540537,447.219065,330.668303
401.182937,306.681296,467.446001,330.672822
421.356174,306.814170,488.286748,330.610343
442.114752,307.518508,509.227924,329.928003
462.298751,307.653630,530.115088,329.854866
483.047704,307.766428,550.342759,329.802204
503.201093,308.490164,571.229702,329.737743
523.368579,308.625290,592.169323,329.626862
544.089928,308.743337,612.454922,329.605181
564.227501,309.452287,633.335483,329.573197
584.378875,309.571742,653.628766,329.477076
604.525065,309.702513,674.536316,329.437331
625.234150,309.820485,695.484601,329.399617
645.354376,310.551477,717.072626,328.699432
665.475223,310.663688,737.983069,327.984269
686.186752,310.766050,758.211472,328.598598
706.302448,311.498986,779.176630,328.497482
726.388084,311.620447,800.116703,328.411437
746.495751,311.719817,820.394412,327.743770
767.194839,312.443859,841.338974,327.666582
787.276745,312.578011,862.286559,328.264410
807.361055,312.680865,883.289104,326.868334
827.428262,312.793313,904.873914,327.502427
847.513375,313.532559,925.224629,326.833543
868.167103,313.635461,946.144145,326.765050
361.163701,325.727211,425.325683,351.400436
381.373915,325.850461,446.243366,351.336113
402.151589,326.562677,466.463801,349.985162
422.332029,326.680254,487.340328,350.549663
443.101166,326.821128,508.209392,349.850600
463.273411,327.520355,529.154700,350.417539
484.033791,327.632741,549.350862,349.718204
504.199488,327.768702,569.609988,349.706655
524.352544,327.892428,590.520482,348.981737
545.096800,328.596531,610.782394,349.572894
565.236991,328.723915,632.308236,348.887783
585.388352,328.843398,652.639123,349.443637
605.528642,329.566431,674.181726,349.434236
626.256818,329.669118,695.165913,348.745316
646.370107,329.797587,715.390852,349.302467
666.489370,330.503322,736.321049,348.621113
687.216638,330.632849,757.248049,348.566586
707.313391,330.750700,778.228190,348.512635
727.433633,330.862569,798.536496,348.436812
748.128564,331.581934,819.475534,348.382762
768.232772,331.709402,840.411385,347.688453
788.315747,331.815348,860.738024,347.623150
808.401379,332.529692,882.342395,347.633425
828.473279,332.637316,903.258784,346.889983
848.544057,332.746624,923.561222,347.481570
869.225003,333.476670,944.536740,346.795371
362.144983,345.627167,424.293982,370.710381
382.344326,345.745457,445.202431,369.985285
403.129158,346.447693,466.068931,370.608591
423.314696,346.562885,486.329786,369.853921
444.080005,346.700214,507.172876,370.506252
464.259547,346.819912,528.181633,369.754936
484.436876,347.529866,548.369064,369.707829
505.183082,347.649071,568.618078,369.695863
525.354511,347.767218,589.551724,369.629696
546.090813,348.484644,611.105130,369.576816
566.244456,348.600717,631.330964,368.885242
586.397661,348.715444,652.973166,369.495463
606.543834,348.835839,673.251050,368.760911
627.255458,349.550053,694.163404,368.066667
647.388038,349.661916,715.077122,368.682842
667.510613,349.785752,735.398041,367.937031
688.234003,350.496475,756.310885,368.554548
708.341547,350.613937,776.610764,367.868257
728.452416,350.728604,798.196510,368.438923
748.553711,350.823529,818.519097,367.766245
769.256042,351.542231,840.120672,367.707994
789.342417,351.665958,860.407234,366.992791
809.443120,351.780426,881.355825,367.581280
829.517751,351.879768,902.319650,367.528600
850.217827,352.614059,923.349649,367.521338
870.268415,352.717935,944.244472,367.462312
363.106930,365.545885,423.243504,390.696295
383.323825,365.657828,444.145270,390.619023
404.098864,365.780628,464.362458,390.619964
424.280187,366.478185,485.305608,390.561285
445.071876,366.592479,506.183827,389.849004
465.246830,366.698171,526.419597,389.809592
485.413706,366.825675,547.328143,390.399418
506.187946,367.549845,567.589043,390.351937
526.355948,367.654356,589.187047,389.644041
547.101956,367.773848,610.098869,389.615711
567.259664,368.479739,630.331391,389.552952
587.404822,368.601007,651.304088,389.504393
608.143390,368.707223,672.264103,388.781538
628.279655,369.428363,692.450220,388.742354
